,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
52613,Twitter,United States,North America,North America,40-49,44.5,,Engineer; Sr. Developer,Enterprise level services developer,Enterprise level services developer,11+ years,13,"$120,000 - $130,000",125000,4.93,Python; Ruby; SQL,Clojure; F#; Haskell,No,8,Employed full-time,Other (please specify),"5,000-9,999 employees",5-9 people,1,Full-time remote,I love my job,Other,Atom; Emacs,Multiple times a day,Other (please specify),Cats,Fedora,Other (please specify),I'm not sure,Once a day,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Quality of colleagues; Remote working option,The interview process,50%,Show me more live code; Be more flexible about interview scheduling; Introduce me to the team,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Neutral,Neutral,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,Poor team dynamics; Fragile code base; Limited resources,To get help for my job; To give help to others; Beacause I love to learn
52617,Twitter,United States,North America,North America,40-49,44.5,Male,Developer; Programmer; Sr. Developer; Expert; Full-stack Developer,Enterprise level services developer,Enterprise level services developer,11+ years,13,"$140,000 - $150,000",145000,4.93,Android; C#; iOS; JavaScript; SQL; SQL Server; Windows Phone,"Android; C#; Cloud (AWS, GAE, Azure, etc.); SQL; SQL Server; Windows Phone",Yes,9,Employed full-time,Web Services,20-99 employees,1-4 people,0,Full-time remote,I love my job,Self-employed - I created my own job,Notepad++; Visual Studio; Xamarin; Xcode,Multiple times a day,1-2 hours per week,Other (please specify),Windows 10,I don't know,I'm not sure,Multiple times a day,To pursue career goals,I'm self-taught; Some college coursework in Computer Science (or related field),I am not interested in new job opportunities,Salary; Equity; Quality of colleagues,Searching for a job that seems interesting,0%,Show me more live code; Introduce me to the boss; Fewer brainteasers,Star Trek,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree somewhat,Neutral,Disagree somewhat,Agree completely,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,Poor team dynamics; Inefficient development processes; Unspecific requirements,To get help for my job; To receive help on my personal projects; Beacause I love to learn
52620,Twitter,United States,North America,North America,20-24,22,Male,Developer; Programmer; Hacker,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$40,000 - $50,000",45000,4.93,Android; C; C++; iOS; Objective-C; Python; Ruby; SQL,Arduino / Raspberry Pi; Go; ReactJS; Redis; Swift,No,5,Employed full-time,Software Products,5-9 employees,1-4 people,0,Full-time remote,I love my job,A friend referred me,Vim; Xcode,Multiple times a day,1-2 hours per week,Cats,Mac OS X,Yes,1,Multiple times a day,I'm curious,I'm self-taught; On-the-job training,I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Industry; Tech stack; Work/life balance; Quality of colleagues; Company culture; Remote working option; Flexible work hours,Finding an open job that I'm qualified for,30%,Introduce me to the team; Fewer brainteasers,Star Wars,,,,,,,,,,,,,,,,,,,,,,
52625,Twitter,United States,North America,North America,40-49,44.5,Male,Developer; Engineer; Programmer; Sr. Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$80,000 - $90,000",85000,4.93,"Cloud (AWS, GAE, Azure, etc.); Go; JavaScript; LAMP; Node.js; Ruby","Cassandra; Clojure; Cloud (AWS, GAE, Azure, etc.); Go; Hadoop; LAMP; Node.js; Scala",No,10,Employed full-time,Education,"10,000+ employees",5-9 people,2,Full-time remote,I'm somewhat satisfied with my job,A friend referred me,Sublime; Vim,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Yes,"10,001+",Multiple times a day,To keep my skills up to date,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Quality of colleagues,Finding an open job that I'm qualified for,0%,Show me more live code; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree completely,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Inefficient development processes; Fragile code base,To get help for my job; To give help to others; Because I can't do my job without it; To discover new job opportunities; To receive help on my personal projects; Beacause I love to learn
52629,Twitter,United States,North America,North America,20-24,22,Male,Developer; Engineer; Programmer; Expert; Full-stack Developer,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",2 - 5 years,3.5,"$100,000 - $110,000",105000,4.93,C#; Java; JavaScript; Node.js; Python; ReactJS,Java; Node.js; Python; ReactJS,Yes,7,Employed full-time,Other (please specify),"5,000-9,999 employees",20+ people,4,I rarely work remotely,I love my job,A friend referred me,Atom; Vim; Eclipse,Multiple times a day,None,Dogs,Debian,I don't know,1,Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),,,,,,,,,,,,,,,,,,,,,,,,,,,,
52638,Twitter,United States,North America,North America,25-29,27,Male,Developer; Programmer; Full-stack Developer; Hacker,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$50,000 - $60,000",55000,4.93,C#; JavaScript; Node.js; SQL; SQL Server,"Android; Clojure; Cloud (AWS, GAE, Azure, etc.); Go; Haskell; iOS; JavaScript; MongoDB; Node.js; Python; ReactJS; Redis; Ruby; Rust; Scala; Swift",Yes,6,Employed full-time,Other (please specify),"5,000-9,999 employees",10-14 people,7,Never,I hate my job,Contacted by external recruiter,Atom; Sublime; Vim; Visual Studio,Multiple times a day,5-10 hours per week,Other (please specify),Windows 7,Yes,101 - 500,Once a week,I want to be a better developer,I'm self-taught,I am actively looking for a new job,Salary; Ability to make or influence important decisions; Health insurance; Tech stack; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,Finding an open job that I'm qualified for,0%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the team; Show me the space in which I will work; Fewer brainteasers,Star Wars,Disagree completely,Agree completely,Agree completely,Neutral,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree completely,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Corporate policies; Outdated technologies; Poor infrastructure or equipment; Changing requirements; Limited resources,To get help for my job; whyso_onlinepresence; To discover new job opportunities; To communicate with others like me; Beacause I love to learn
52644,Twitter,United States,North America,North America,35-39,37,Male,Sr. Developer,Desktop developer,Desktop developer,11+ years,13,"$80,000 - $90,000",85000,4.93,Visual Basic,Swift,Yes,8,Employed full-time,Software Products,5-9 employees,I am not on a team,"I am not on a ""team""",Full-time remote,I love my job,Self-employed - I created my own job,Visual Studio,Multiple times a day,1-2 hours per week,Cats,Windows 10,I don't know,"501 - 1,000",Very rarely,To keep my skills up to date,I'm self-taught; B.S. in Computer Science (or related field),I am not interested in new job opportunities,Work/life balance; Company culture; Remote working option,Writing cover letters,30%,Offer remote interviews (e.g. via video conference); Fewer brainteasers; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Agree completely,Neutral,Disagree somewhat,Disagree somewhat,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,Poor documentation; Changing requirements; Limited resources,To get help for my job; To give help to others; Beacause I love to learn
52645,Twitter,United States,North America,North America,30-34,32,Male,Developer; Sr. Developer,Front-end web developer,Front-end web developer,6 - 10 years,8,"$120,000 - $130,000",125000,4.93,AngularJS; JavaScript; MongoDB; Node.js; PHP,AngularJS; JavaScript; MongoDB; Node.js; ReactJS,Other (please specify),5,Employed full-time,Software Products,10-19 employees,I am not on a team,0,I rarely work remotely,I love my job,Stack Overflow,Vim,Multiple times a day,5-10 hours per week,Other (please specify),Mac OS X,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught,I am not interested in new job opportunities,Tech stack; Work/life balance; Office location; Quality of colleagues; Company culture; Company reputation,Searching for a job that seems interesting,60%,,Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree completely,Neutral,Disagree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,Poor team dynamics; Fragile code base; Changing requirements,To get help for my job; To give help to others; Because I can't do my job without it; whyso_onlinepresence; To discover new job opportunities; To demonstrate that I'm good at what I do; To receive help on my personal projects; Beacause I love to learn
52651,Twitter,United States,North America,North America,25-29,27,Male,Developer,Back-end web developer,Back-end web developer,6 - 10 years,8,"$70,000 - $80,000",75000,4.93,LAMP; PHP,Arduino / Raspberry Pi; PHP,Yes,7,Employed full-time,Software Products,100-499 employees,15-20 people,1,I rarely work remotely,I love my job,Other,Vim; PhpStorm,Multiple times a day,2-5 hours per week,Cats,Ubuntu,Yes,101 - 500,Multiple times a day,I want to be a better developer,B.A. in Computer Science (or related field),I am not interested in new job opportunities,Salary; Health insurance; Tech stack; Work/life balance; Flexible work hours,Writing my CV and keeping it updated,10%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the team; Show me the space in which I will work,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Neutral,Neutral,Agree somewhat,Disagree somewhat,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,I don't care about this,Inefficient development processes; Fragile code base; Poor documentation; Outdated technologies; Changing requirements,To get help for my job; To give help to others
52665,Twitter,United States,North America,North America,35-39,37,Male,Developer; Engineer,Enterprise level services developer,Enterprise level services developer,11+ years,13,"$70,000 - $80,000",75000,4.93,C#; Java; SQL Server,C#; iOS; Swift,Yes,7,Employed full-time,Consulting,20-99 employees,1-4 people,1,Full-time remote,I love my job,Twitter,Sublime; IntelliJ; Visual Studio,Once a day,1-2 hours per week,Dogs,Mac OS X,Yes,101 - 500,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)",I am not interested in new job opportunities,Health insurance; Work/life balance; Quality of colleagues; Company culture; Remote working option,The interview process,30%,Introduce me to the team,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Agree somewhat,Disagree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,Poor scheduling; Changing requirements; Limited resources,To get help for my job; To give help to others; Beacause I love to learn
52666,Twitter,United States,North America,North America,25-29,27,Male,Developer; Engineer; Programmer; Hacker,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$70,000 - $80,000",75000,4.93,AngularJS; C#; JavaScript; Node.js; SQL Server,Arduino / Raspberry Pi; C; C++; C#; JavaScript; Node.js,Yes,9,Employed full-time,Software Products,100-499 employees,5-9 people,2,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Vim; Visual Studio,Multiple times a day,5-10 hours per week,Cats,Other Linux,Yes,2 - 100,Once a day,I'm curious,I'm self-taught; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Work/life balance,Searching for a job that seems interesting,70%,Show me more live code; Introduce me to the team; Fewer brainteasers,Star Wars,Disagree somewhat,Agree completely,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree completely,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Unrealistic expectations; Non-technical management; Limited resources,To get help for my job; To receive help on my personal projects
52671,Twitter,United States,North America,North America,35-39,37,Male,Developer; Programmer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$110,000 - $120,000",115000,4.93,C#; JavaScript; PHP; SQL; SQL Server; WordPress,Android; C#; PHP; WordPress,Other (please specify),8,Employed full-time,Software Products,10-19 employees,10-14 people,1,Full-time remote,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Visual Studio; Xamarin,Multiple times a day,5-10 hours per week,Other (please specify),Windows 10,Yes,I'm not sure,Once a week,I'm curious,"I'm self-taught; On-the-job training; Full-time, intensive program (e.g. ""boot-camp""); Part-time program (e.g. night school); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Opportunity for advancement; Remote working option,Interesting companies rarely respond to me,0%,Show me more live code; Offer remote interviews (e.g. via video conference),Star Wars; Star Trek,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Neutral,Neutral,Neutral,Neutral,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,Unrealistic expectations; Changing requirements; Unspecific requirements; Limited resources; Trying to be nice,To get help for my job; To receive help on my personal projects
52676,Twitter,United States,North America,North America,40-49,44.5,Male,Developer; Programmer; Sr. Developer; Manager; Full-stack Developer,Product manager,Product manager,11+ years,13,"$90,000 - $100,000",95000,4.93,JavaScript; Perl; Redis; SQL; SQL Server,JavaScript; Node.js; Perl; Redis; SQL,Yes,8,Employed full-time,Gaming,20-99 employees,10-14 people,3,Full-time remote,I love my job,Twitter,Vim,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Yes,I'm not sure,Once a day,I want to be a better developer,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Tech stack; Work/life balance; Quality of colleagues; Company culture; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,Finding an open job that I'm qualified for,70%,Offer remote interviews (e.g. via video conference); Introduce me to the boss; Introduce me to the team; interview_coffee; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Disagree completely,Neutral,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is very important,This is very important,I don't care about this,Limited resources,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
52677,Twitter,United States,North America,North America,20-24,22,Male,Developer; Programmer,Enterprise level services developer,Enterprise level services developer,1 - 2 years,1.5,"$60,000 - $70,000",65000,4.93,AngularJS; Java; JavaScript,C; CoffeeScript; Objective-C; Python; Ruby; Salesforce,No,7,Employed full-time,Healthcare,"10,000+ employees",10-14 people,1,I rarely work remotely,I'm somewhat satisfied with my job,Career fair,Atom; Emacs; Sublime; Vim; Eclipse,Multiple times a day,None,Dogs,Windows 10,Yes,I don't have an account,Once a day,I want to be a better developer,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Company culture,Writing my CV and keeping it updated,50%,Show me more live code; Offer remote interviews (e.g. via video conference); Prepare me for who I will be speaking with,Star Wars,Neutral,Agree somewhat,Agree completely,Neutral,Disagree somewhat,Neutral,Neutral,Disagree somewhat,Disagree completely,Disagree completely,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Fragile code base; Poor documentation; Corporate policies; Outdated technologies; Interacting with non-technical people; Unspecific requirements,To get help for my job
52679,Twitter,United States,North America,North America,30-34,32,Male,Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$100,000 - $110,000",105000,4.93,"CoffeeScript; Cordova; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; PHP; Python; ReactJS; Redis; SQL; WordPress",,Yes,9,Employed full-time,Education,10-19 employees,5-9 people,2,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Emacs,Multiple times a day,5-10 hours per week,Other (please specify),Mac OS X,Yes,I'm not sure,Very rarely,I learn new technology when my job requires it,Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Equity; Health insurance; Work/life balance; Office location; Quality of colleagues; Company culture,Taking time off work to interview,80%,Fewer brainteasers,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree completely,Disagree completely,Agree somewhat,Disagree somewhat,Neutral,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,Unspecific requirements; Limited resources,To demonstrate that I'm good at what I do
52680,Twitter,United States,North America,North America,30-34,32,Male,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer; Hacker,Full-stack web developer,Full-stack web developer,6 - 10 years,8,"$120,000 - $130,000",125000,4.93,Arduino / Raspberry Pi; AngularJS; iOS; JavaScript; Node.js; Objective-C; PHP; Python; ReactJS; Redis; SQL; WordPress,Arduino / Raspberry Pi; iOS; ReactJS; Swift,Yes,9,Employed full-time,Media / Advertising,"1,000-4,999 employees",20+ people,11+,I rarely work remotely,I love my job,I knew I wanted to work here. I sought out the opportunity directly,TextMate; Xcode,Multiple times a day,1-2 hours per week,Cats,Mac OS X,I don't know,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),I am not interested in new job opportunities,Ability to make or influence important decisions; Company reputation; Building something that's significant,Taking time off work to interview,30%,Introduce me to the team; Show me the space in which I will work; Fewer brainteasers,Star Trek,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree completely,Neutral,Agree completely,Agree somewhat,Agree somewhat,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,Fragile code base; Poor scheduling; Corporate policies,To get help for my job; To give help to others; Because I can't do my job without it
52682,Twitter,United States,North America,North America,35-39,37,Male,Developer; Engineer; Programmer; Sr. Developer; Manager,Engineering manager,Engineering manager,11+ years,13,Rather not say,,4.93,C++; Go,C++; Go; Perl,No,8,Employed full-time,Internet,"10,000+ employees",1-4 people,2,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Vim,Multiple times a day,2-5 hours per week,Dogs,Ubuntu,Yes,"1,001 - 5,000",Once a week,I'm curious,I'm self-taught; On-the-job training,I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Health insurance; Tech stack; Company size; Company stage; Work/life balance; Job title; Office location; Company culture; Company reputation; Building something that's significant; Remote working option,The interview process,80%,Fewer brainteasers,Star Wars; Star Trek,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree completely,Agree somewhat,Neutral,Neutral,Agree somewhat,Disagree somewhat,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,Fragile code base; Poor documentation,To get help for my job; To give help to others; Beacause I love to learn
52684,Twitter,United States,North America,North America,25-29,27,Male,Engineer; Sr. Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8,"$90,000 - $100,000",95000,4.93,JavaScript; Node.js,Haskell; JavaScript; Node.js,Yes,9,Employed full-time,Retail,"1,000-4,999 employees",5-9 people,1,Part-time remote,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Atom,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Other (please specify),2 - 100,Very rarely,I want to be a better developer,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Tech stack; Work/life balance; Building something that's innovative,The interview process,60%,Offer remote interviews (e.g. via video conference); Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree somewhat,Agree completely,Neutral,Disagree somewhat,Neutral,Agree somewhat,Agree somewhat,Disagree completely,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,Poor team dynamics; Unrealistic expectations; Non-technical management,To get help for my job; To give help to others; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
52685,Twitter,United States,North America,North America,25-29,27,Male,Engineer,other,,6 - 10 years,8,"$150,000 - $160,000",155000,4.93,C++; Go; iOS,C; C++; Go; iOS; Objective-C,No,7,Employed full-time,Internet,"10,000+ employees",5-9 people,0,Never,I'm neither satisfied nor dissatisfied,I knew I wanted to work here. I sought out the opportunity directly,Vim,Once a day,1-2 hours per week,Cats,Ubuntu,Yes,101 - 500,Once a day,I learn new technology when my job requires it,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Office location; Flexible work hours,Writing cover letters,Other (please specify),Show me more live code; Offer remote interviews (e.g. via video conference); Show me the space in which I will work,,Agree somewhat,Agree somewhat,Agree completely,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Neutral,Neutral,Disagree completely,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,Fragile code base; Poor infrastructure or equipment; Limited resources,I don't really use Stack Overflow. I just take surveys.
52687,Twitter,United States,North America,North America,30-34,32,Male,Developer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",11+ years,13,"$70,000 - $80,000",75000,4.93,iOS; Swift,Arduino / Raspberry Pi; Python; Swift,Yes,6,Employed full-time,Consumer Products,10-19 employees,1-4 people,1,I rarely work remotely,I love my job,A friend referred me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52691,Twitter,United States,North America,North America,30-34,32,Male,Developer; Engineer; Programmer; Sr. Developer,Back-end web developer,Back-end web developer,6 - 10 years,8,"$150,000 - $160,000",155000,4.93,"C#; Cloud (AWS, GAE, Azure, etc.); iOS; Java; JavaScript; MongoDB; Python; SQL; SQL Server; Swift","AngularJS; Cloud (AWS, GAE, Azure, etc.); Java; ReactJS",Yes,7,Employed full-time,Consumer Products,"1,000-4,999 employees",10-14 people,3,Part-time remote,I'm somewhat satisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime; IntelliJ; Visual Studio,Multiple times a day,2-5 hours per week,Dogs,Windows 10,Yes,I'm not sure,Multiple times a day,I want to be a better developer,On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Tech stack; Work/life balance; Quality of colleagues; Company culture; Flexible work hours,The interview process,60%,Show me more live code; Fewer brainteasers,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree somewhat,Agree somewhat,Neutral,Disagree completely,Disagree somewhat,Disagree completely,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,Fragile code base; Poor documentation; Interacting with stupid people,To get help for my job; Because I can't do my job without it; To receive help on my personal projects
52705,Twitter,United States,North America,North America,30-34,32,Male,Developer; Engineer; Programmer; Full-stack Developer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$70,000 - $80,000",75000,4.93,Go; Node.js; Redis; SQL,Go; Node.js; ReactJS; Rust; Visual Basic,No,6,Employed full-time,Internet,10-19 employees,1-4 people,2,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime; Vim,Multiple times a day,2-5 hours per week,Cats,Mac OS X,No,1,Once a day,To keep my skills up to date,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Office location,Interesting companies rarely respond to me,10%,Show me more live code; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree completely,Agree somewhat,Agree completely,Neutral,Disagree completely,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,Poor documentation; Unspecific requirements; Limited resources,To get help for my job
52711,Twitter,United States,North America,North America,25-29,27,Male,Developer; Engineer; Programmer; Full-stack Developer,Enterprise level services developer,Enterprise level services developer,6 - 10 years,8,,,4.93,C#; Go; Python,C#; Go; SQL,No,10,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52719,Twitter,United States,North America,North America,25-29,27,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,Back-end web developer,Back-end web developer,11+ years,13,"$120,000 - $130,000",125000,4.93,C#; CoffeeScript; Go; JavaScript; MongoDB; Node.js; PHP; Redis; SQL,C++; Go; JavaScript; Node.js; Rust; SQL; Swift,Yes,8,Employed full-time,Software Products,100-499 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime; IntelliJ; Xcode,Multiple times a day,5-10 hours per week,Other (please specify),Mac OS X,Yes,"501 - 1,000",Multiple times a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Health insurance; Industry; Work/life balance; Office location; Quality of colleagues; Company culture; Building something that's significant; Flexible work hours; Building something that's innovative,The interview process,70%,Fewer brainteasers,Star Wars; Star Trek,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Neutral,Neutral,Agree somewhat,Disagree completely,I don't care about this,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,Unrealistic expectations; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Because I can't do my job without it; To receive help on my personal projects
